home,away,score,year
Ротор,Урал,0 : 0,2020/2021
Ротор,Уфа,1 : 0,2020/2021
Ротор,Арсенал,1 : 0,2020/2021
Ротор,Тамбов,0 : 2,2020/2021
Тамбов,Зенит,1 : 5,2020/2021
Тамбов,Спартак М,0 : 2,2020/2021
Тамбов,Локомотив М,2 : 5,2020/2021
Тамбов,Рубин,0 : 1,2020/2021
Тамбов,Сочи,0 : 1,2020/2021
Тамбов,ЦСКА,1 : 2,2020/2021
Тамбов,Динамо М,1 : 2,2020/2021
Тамбов,Химки,1 : 0,2020/2021
Тамбов,Ростов,0 : 1,2020/2021
Тамбов,Краснодар,0 : 4,2020/2021
Тамбов,Ахмат,0 : 1,2020/2021
Тамбов,Урал,1 : 1,2020/2021
Тамбов,Уфа,2 : 0,2020/2021
Тамбов,Арсенал,1 : 1,2020/2021
Тамбов,Ротор,1 : 3,2020/2021
Зенит,Локомотив М,0 : 0,2019/2020
Зенит,Краснодар,1 : 1,2019/2020
Зенит,ЦСКА,1 : 1,2019/2020
Зенит,Ростов,6 : 1,2019/2020
Зенит,Динамо М,3 : 0,2019/2020
Зенит,Спартак М,1 : 0,2019/2020
Зенит,Арсенал,3 : 1,2019/2020
Зенит,Уфа,0 : 0,2019/2020
Зенит,Рубин,5 : 0,2019/2020
Зенит,Урал,7 : 1,2019/2020
Зенит,Сочи,2 : 1,2019/2020
Зенит,Ахмат,0 : 0,2019/2020
Зенит,Тамбов,2 : 1,2019/2020
Зенит,Крылья Советов,2 : 1,2019/2020
Зенит,Оренбург,4 : 1,2019/2020
Локомотив М,Зенит,1 : 0,2019/2020
Локомотив М,Краснодар,1 : 1,2019/2020
Локомотив М,ЦСКА,2 : 1,2019/2020
Локомотив М,Ростов,1 : 2,2019/2020
Локомотив М,Динамо М,1 : 2,2019/2020
Локомотив М,Спартак М,0 : 3,2019/2020
Локомотив М,Арсенал,2 : 1,2019/2020
Локомотив М,Уфа,1 : 1,2019/2020
Локомотив М,Рубин,1 : 1,2019/2020
Локомотив М,Урал,4 : 0,2019/2020
Локомотив М,Сочи,0 : 0,2019/2020
Локомотив М,Ахмат,1 : 0,2019/2020
Локомотив М,Тамбов,2 : 1,2019/2020
Локомотив М,Крылья Советов,1 : 1,2019/2020
Локомотив М,Оренбург,1 : 0,2019/2020
Краснодар,Зенит,2 : 4,2019/2020
Краснодар,Локомотив М,1 : 1,2019/2020
Краснодар,ЦСКА,1 : 1,2019/2020
Краснодар,Ростов,2 : 2,2019/2020
Краснодар,Динамо М,0 : 2,2019/2020
Краснодар,Спартак М,2 : 1,2019/2020
Краснодар,Арсенал,2 : 0,2019/2020
Краснодар,Уфа,2 : 0,2019/2020
Краснодар,Рубин,1 : 0,2019/2020
Краснодар,Урал,3 : 0,2019/2020
Краснодар,Сочи,3 : 0,2019/2020
Краснодар,Ахмат,4 : 0,2019/2020
Краснодар,Тамбов,0 : 0,2019/2020
Краснодар,Крылья Советов,4 : 2,2019/2020
Краснодар,Оренбург,1 : 1,2019/2020
ЦСКА,Зенит,0 : 4,2019/2020
ЦСКА,Локомотив М,1 : 0,2019/2020
ЦСКА,Краснодар,3 : 2,2019/2020
ЦСКА,Ростов,1 : 3,2019/2020
ЦСКА,Динамо М,0 : 1,2019/2020
ЦСКА,Спартак М,2 : 0,2019/2020
ЦСКА,Арсенал,0 : 1,2019/2020
ЦСКА,Уфа,0 : 0,2019/2020
ЦСКА,Рубин,1 : 1,2019/2020
ЦСКА,Урал,1 : 1,2019/2020
ЦСКА,Сочи,0 : 0,2019/2020
ЦСКА,Ахмат,3 : 0,2019/2020
ЦСКА,Тамбов,2 : 0,2019/2020
ЦСКА,Крылья Советов,1 : 0,2019/2020
ЦСКА,Оренбург,2 : 1,2019/2020
Ростов,Зенит,1 : 2,2019/2020
Ростов,Локомотив М,1 : 3,2019/2020
