home,away,score,year
Алания,Ротор,1 : 1,2004
Кубань,Локомотив,2 : 1,2004
Кубань,ЦСКА,0 : 3,2004
Кубань,Крылья Советов,1 : 1,2004
Кубань,Зенит,1 : 3,2004
Кубань,Торпедо М,1 : 2,2004
Кубань,Шинник,1 : 0,2004
Кубань,Сатурн,0 : 0,2004
Кубань,Спартак,1 : 2,2004
Кубань,Москва,0 : 0,2004
Кубань,Рубин,1 : 0,2004
Кубань,Амкар,0 : 0,2004
Кубань,Ростов,3 : 1,2004
Кубань,Динамо,0 : 0,2004
Кубань,Алания,2 : 3,2004
Кубань,Ротор,1 : 1,2004
Ротор,Локомотив,2 : 2,2004
Ротор,ЦСКА,1 : 3,2004
Ротор,Крылья Советов,3 : 2,2004
Ротор,Зенит,2 : 5,2004
Ротор,Торпедо М,0 : 1,2004
Ротор,Шинник,0 : 2,2004
Ротор,Сатурн,1 : 0,2004
Ротор,Спартак,2 : 3,2004
Ротор,Москва,1 : 1,2004
Ротор,Рубин,0 : 1,2004
Ротор,Амкар,2 : 2,2004
Ротор,Ростов,3 : 2,2004
Ротор,Динамо,0 : 0,2004
Ротор,Алания,0 : 1,2004
Ротор,Кубань,1 : 1,2004
ЦСКА,Зенит,2 : 2,2003
ЦСКА,Рубин,4 : 0,2003
ЦСКА,Локомотив,2 : 0,2003
ЦСКА,Шинник,2 : 2,2003
ЦСКА,Динамо,1 : 1,2003
ЦСКА,Сатурн-REN TV,1 : 1,2003
ЦСКА,Торпедо М,2 : 0,2003
ЦСКА,Крылья Советов,3 : 0,2003
ЦСКА,Спартак,3 : 2,2003
ЦСКА,Ростов,0 : 1,2003
ЦСКА,Ротор,3 : 0,2003
ЦСКА,Спартак-Алания,3 : 0,2003
ЦСКА,Торпедо-Металлург,1 : 0,2003
ЦСКА,Уралан,2 : 0,2003
ЦСКА,Черноморец,3 : 2,2003
Зенит,ЦСКА,4 : 1,2003
Зенит,Рубин,1 : 0,2003
Зенит,Локомотив,0 : 0,2003
Зенит,Шинник,1 : 2,2003
Зенит,Динамо,0 : 0,2003
Зенит,Сатурн-REN TV,2 : 1,2003
Зенит,Торпедо М,1 : 0,2003
Зенит,Крылья Советов,2 : 2,2003
Зенит,Спартак,2 : 1,2003
Зенит,Ростов,0 : 0,2003
Зенит,Ротор,0 : 0,2003
Зенит,Спартак-Алания,2 : 1,2003
Зенит,Торпедо-Металлург,3 : 0,2003
Зенит,Уралан,5 : 1,2003
Зенит,Черноморец,3 : 0,2003
Рубин,ЦСКА,3 : 2,2003
Рубин,Зенит,1 : 2,2003
Рубин,Локомотив,3 : 1,2003
Рубин,Шинник,1 : 0,2003
Рубин,Динамо,2 : 1,2003
Рубин,Сатурн-REN TV,0 : 0,2003
Рубин,Торпедо М,3 : 1,2003
Рубин,Крылья Советов,3 : 1,2003
Рубин,Спартак,1 : 0,2003
Рубин,Ростов,5 : 0,2003
Рубин,Ротор,1 : 0,2003
Рубин,Спартак-Алания,4 : 0,2003
Рубин,Торпедо-Металлург,1 : 0,2003
Рубин,Уралан,0 : 0,2003
Рубин,Черноморец,3 : 1,2003
Локомотив,ЦСКА,1 : 3,2003
Локомотив,Зенит,1 : 2,2003
Локомотив,Рубин,1 : 1,2003
Локомотив,Шинник,6 : 1,2003
Локомотив,Динамо,2 : 0,2003
Локомотив,Сатурн-REN TV,2 : 1,2003
Локомотив,Торпедо М,1 : 2,2003
Локомотив,Крылья Советов,2 : 1,2003
Локомотив,Спартак,2 : 1,2003
Локомотив,Ростов,0 : 0,2003
Локомотив,Ротор,3 : 0,2003
Локомотив,Спартак-Алания,2 : 0,2003
Локомотив,Торпедо-Металлург,1 : 0,2003
Локомотив,Уралан,6 : 0,2003
Локомотив,Черноморец,1 : 0,2003
Шинник,ЦСКА,1 : 1,2003
Шинник,Зенит,3 : 0,2003
Шинник,Рубин,2 : 2,2003
Шинник,Локомотив,1 : 1,2003
Шинник,Динамо,0 : 0,2003
Шинник,Сатурн-REN TV,1 : 0,2003
Шинник,Торпедо М,1 : 1,2003
Шинник,Крылья Советов,2 : 0,2003
Шинник,Спартак,1 : 2,2003
Шинник,Ростов,4 : 1,2003
Шинник,Ротор,2 : 2,2003
Шинник,Спартак-Алания,2 : 0,2003
Шинник,Торпедо-Металлург,3 : 0,2003
Шинник,Уралан,2 : 1,2003
Шинник,Черноморец,1 : 1,2003
Динамо,ЦСКА,2 : 3,2003
Динамо,Зенит,7 : 1,2003
Динамо,Рубин,0 : 0,2003
Динамо,Локомотив,1 : 1,2003
Динамо,Шинник,1 : 2,2003
Динамо,Сатурн-REN TV,1 : 1,2003
Динамо,Торпедо М,1 : 2,2003
Динамо,Крылья Советов,2 : 1,2003
Динамо,Спартак,3 : 2,2003
Динамо,Ростов,1 : 1,2003
Динамо,Ротор,3 : 1,2003
Динамо,Спартак-Алания,0 : 0,2003
Динамо,Торпедо-Металлург,0 : 1,2003
Динамо,Уралан,2 : 0,2003
Динамо,Черноморец,3 : 2,2003
Сатурн-REN TV,ЦСКА,2 : 2,2003
Сатурн-REN TV,Зенит,1 : 3,2003
Сатурн-REN TV,Рубин,1 : 1,2003
Сатурн-REN TV,Локомотив,0 : 0,2003
Сатурн-REN TV,Шинник,2 : 1,2003
Сатурн-REN TV,Динамо,0 : 1,2003
Сатурн-REN TV,Торпедо М,2 : 0,2003
Сатурн-REN TV,Крылья Советов,1 : 1,2003
Сатурн-REN TV,Спартак,3 : 2,2003
Сатурн-REN TV,Ростов,2 : 1,2003
Сатурн-REN TV,Ротор,4 : 1,2003
Сатурн-REN TV,Спартак-Алания,2 : 2,2003
Сатурн-REN TV,Торпедо-Металлург,0 : 3,2003
Сатурн-REN TV,Уралан,2 : 1,2003
Сатурн-REN TV,Черноморец,2 : 0,2003
Торпедо М,ЦСКА,3 : 2,2003
Торпедо М,Зенит,1 : 2,2003
Торпедо М,Рубин,4 : 2,2003
Торпедо М,Локомотив,1 : 0,2003
Торпедо М,Шинник,1 : 1,2003
Торпедо М,Динамо,1 : 1,2003
Торпедо М,Сатурн-REN TV,4 : 3,2003
Торпедо М,Крылья Советов,0 : 0,2003
Торпедо М,Спартак,3 : 0,2003
Торпедо М,Ростов,1 : 1,2003
Торпедо М,Ротор,0 : 3,2003
Торпедо М,Спартак-Алания,2 : 0,2003
Торпедо М,Торпедо-Металлург,3 : 0,2003
Торпедо М,Уралан,3 : 0,2003
Торпедо М,Черноморец,1 : 1,2003
Крылья Советов,ЦСКА,0 : 2,2003
Крылья Советов,Зенит,2 : 1,2003
Крылья Советов,Рубин,0 : 0,2003
Крылья Советов,Локомотив,3 : 0,2003
Крылья Советов,Шинник,1 : 0,2003
Крылья Советов,Динамо,1 : 0,2003
Крылья Советов,Сатурн-REN TV,3 : 1,2003
Крылья Советов,Торпедо М,4 : 2,2003
Крылья Советов,Спартак,0 : 2,2003
Крылья Советов,Ростов,3 : 0,2003
Крылья Советов,Ротор,3 : 0,2003
Крылья Советов,Спартак-Алания,3 : 0,2003
Крылья Советов,Торпедо-Металлург,2 : 0,2003
Крылья Советов,Уралан,0 : 0,2003
Крылья Советов,Черноморец,1 : 1,2003
Спартак,ЦСКА,0 : 0,2003
Спартак,Зенит,1 : 1,2003
Спартак,Рубин,0 : 2,2003
Спартак,Локомотив,2 : 5,2003
Спартак,Шинник,3 : 1,2003
Спартак,Динамо,2 : 1,2003
Спартак,Сатурн-REN TV,0 : 1,2003
Спартак,Торпедо М,1 : 0,2003
Спартак,Крылья Советов,1 : 1,2003
Спартак,Ростов,1 : 0,2003
Спартак,Ротор,3 : 2,2003
Спартак,Спартак-Алания,1 : 2,2003
Спартак,Торпедо-Металлург,0 : 2,2003
Спартак,Уралан,1 : 1,2003
Спартак,Черноморец,2 : 1,2003
Ростов,ЦСКА,0 : 1,2003
Ростов,Зенит,1 : 1,2003
Ростов,Рубин,0 : 1,2003
Ростов,Локомотив,1 : 1,2003
Ростов,Шинник,1 : 1,2003
Ростов,Динамо,1 : 1,2003
Ростов,Сатурн-REN TV,1 : 2,2003
Ростов,Торпедо М,0 : 0,2003
Ростов,Крылья Советов,2 : 1,2003
Ростов,Спартак,3 : 2,2003
Ростов,Ротор,4 : 3,2003
Ростов,Спартак-Алания,3 : 1,2003
Ростов,Торпедо-Металлург,1 : 0,2003
Ростов,Уралан,1 : 0,2003
Ростов,Черноморец,0 : 2,2003
Ротор,ЦСКА,1 : 2,2003
Ротор,Зенит,1 : 4,2003
Ротор,Рубин,3 : 1,2003
Ротор,Локомотив,0 : 2,2003
Ротор,Шинник,0 : 0,2003
Ротор,Динамо,0 : 1,2003
Ротор,Сатурн-REN TV,0 : 1,2003
Ротор,Торпедо М,2 : 0,2003
Ротор,Крылья Советов,1 : 0,2003
Ротор,Спартак,1 : 1,2003
Ротор,Ростов,2 : 0,2003
Ротор,Спартак-Алания,2 : 1,2003
Ротор,Торпедо-Металлург,2 : 2,2003
Ротор,Уралан,2 : 0,2003
Ротор,Черноморец,3 : 0,2003
Спартак-Алания,ЦСКА,0 : 1,2003
Спартак-Алания,Зенит,0 : 2,2003
Спартак-Алания,Рубин,1 : 0,2003
Спартак-Алания,Локомотив,3 : 2,2003
Спартак-Алания,Шинник,0 : 1,2003
Спартак-Алания,Динамо,0 : 1,2003
Спартак-Алания,Сатурн-REN TV,1 : 0,2003
Спартак-Алания,Торпедо М,0 : 0,2003
Спартак-Алания,Крылья Советов,1 : 1,2003
Спартак-Алания,Спартак,3 : 0,2003
Спартак-Алания,Ростов,1 : 0,2003
Спартак-Алания,Ротор,1 : 0,2003
Спартак-Алания,Торпедо-Металлург,2 : 0,2003
Спартак-Алания,Уралан,0 : 1,2003
Спартак-Алания,Черноморец,1 : 0,2003
Торпедо-Металлург,ЦСКА,2 : 1,2003
Торпедо-Металлург,Зенит,0 : 1,2003
Торпедо-Металлург,Рубин,1 : 2,2003
Торпедо-Металлург,Локомотив,1 : 3,2003
Торпедо-Металлург,Шинник,1 : 2,2003
Торпедо-Металлург,Динамо,0 : 1,2003
Торпедо-Металлург,Сатурн-REN TV,2 : 3,2003
Торпедо-Металлург,Торпедо М,0 : 0,2003
Торпедо-Металлург,Крылья Советов,3 : 0,2003
Торпедо-Металлург,Спартак,0 : 0,2003
Торпедо-Металлург,Ростов,0 : 3,2003
Торпедо-Металлург,Ротор,1 : 0,2003
Торпедо-Металлург,Спартак-Алания,3 : 1,2003
Торпедо-Металлург,Уралан,1 : 1,2003
Торпедо-Металлург,Черноморец,0 : 0,2003
Уралан,ЦСКА,2 : 2,2003
Уралан,Зенит,1 : 0,2003
Уралан,Рубин,1 : 1,2003
Уралан,Локомотив,1 : 2,2003
Уралан,Шинник,0 : 2,2003
Уралан,Динамо,1 : 5,2003
Уралан,Сатурн-REN TV,0 : 0,2003
Уралан,Торпедо М,2 : 2,2003
Уралан,Крылья Советов,0 : 0,2003
Уралан,Спартак,1 : 2,2003
Уралан,Ростов,3 : 1,2003
Уралан,Ротор,0 : 1,2003
Уралан,Спартак-Алания,2 : 1,2003
Уралан,Торпедо-Металлург,1 : 0,2003
Уралан,Черноморец,1 : 0,2003
Черноморец,ЦСКА,0 : 1,2003
Черноморец,Зенит,1 : 0,2003
Черноморец,Рубин,1 : 0,2003
Черноморец,Локомотив,2 : 5,2003
Черноморец,Шинник,2 : 1,2003
Черноморец,Динамо,0 : 1,2003
Черноморец,Сатурн-REN TV,0 : 1,2003
Черноморец,Торпедо М,2 : 4,2003
Черноморец,Крылья Советов,1 : 3,2003
Черноморец,Спартак,2 : 3,2003
Черноморец,Ростов,2 : 2,2003
Черноморец,Ротор,1 : 0,2003
Черноморец,Спартак-Алания,3 : 0,2003
Черноморец,Торпедо-Металлург,1 : 2,2003
Черноморец,Уралан,1 : 1,2003
ЦСКА,Зенит,2 : 2,2002
ЦСКА,Рубин,4 : 0,2002
ЦСКА,Локомотив,2 : 0,2002
ЦСКА,Шинник,2 : 2,2002
ЦСКА,Динамо,1 : 1,2002
ЦСКА,Сатурн-REN TV,1 : 1,2002
ЦСКА,Торпедо М,2 : 0,2002
ЦСКА,Крылья Советов,3 : 0,2002
ЦСКА,Спартак,3 : 2,2002
ЦСКА,Ростов,0 : 1,2002
ЦСКА,Ротор,3 : 0,2002
ЦСКА,Спартак-Алания,3 : 0,2002
ЦСКА,Торпедо-Металлург,1 : 0,2002
ЦСКА,Уралан,2 : 0,2002
ЦСКА,Черноморец,3 : 2,2002
Зенит,ЦСКА,4 : 1,2002
Зенит,Рубин,1 : 0,2002
Зенит,Локомотив,0 : 0,2002
Зенит,Шинник,1 : 2,2002
Зенит,Динамо,0 : 0,2002
Зенит,Сатурн-REN TV,2 : 1,2002
Зенит,Торпедо М,1 : 0,2002
Зенит,Крылья Советов,2 : 2,2002
Зенит,Спартак,2 : 1,2002
Зенит,Ростов,0 : 0,2002
Зенит,Ротор,0 : 0,2002
Зенит,Спартак-Алания,2 : 1,2002
Зенит,Торпедо-Металлург,3 : 0,2002
Зенит,Уралан,5 : 1,2002
Зенит,Черноморец,3 : 0,2002
Рубин,ЦСКА,3 : 2,2002
Рубин,Зенит,1 : 2,2002
Рубин,Локомотив,3 : 1,2002
Рубин,Шинник,1 : 0,2002
Рубин,Динамо,2 : 1,2002
Рубин,Сатурн-REN TV,0 : 0,2002
Рубин,Торпедо М,3 : 1,2002
Рубин,Крылья Советов,3 : 1,2002
Рубин,Спартак,1 : 0,2002
Рубин,Ростов,5 : 0,2002
Рубин,Ротор,1 : 0,2002
Рубин,Спартак-Алания,4 : 0,2002
Рубин,Торпедо-Металлург,1 : 0,2002
Рубин,Уралан,0 : 0,2002
Рубин,Черноморец,3 : 1,2002
Локомотив,ЦСКА,1 : 3,2002
Локомотив,Зенит,1 : 2,2002
Локомотив,Рубин,1 : 1,2002
Локомотив,Шинник,6 : 1,2002
Локомотив,Динамо,2 : 0,2002
Локомотив,Сатурн-REN TV,2 : 1,2002
Локомотив,Торпедо М,1 : 2,2002
Локомотив,Крылья Советов,2 : 1,2002
Локомотив,Спартак,2 : 1,2002
Локомотив,Ростов,0 : 0,2002
Локомотив,Ротор,3 : 0,2002
Локомотив,Спартак-Алания,2 : 0,2002
Локомотив,Торпедо-Металлург,1 : 0,2002
Локомотив,Уралан,6 : 0,2002
Локомотив,Черноморец,1 : 0,2002
Шинник,ЦСКА,1 : 1,2002
Шинник,Зенит,3 : 0,2002
Шинник,Рубин,2 : 2,2002
Шинник,Локомотив,1 : 1,2002
Шинник,Динамо,0 : 0,2002
Шинник,Сатурн-REN TV,1 : 0,2002
Шинник,Торпедо М,1 : 1,2002
Шинник,Крылья Советов,2 : 0,2002
Шинник,Спартак,1 : 2,2002
Шинник,Ростов,4 : 1,2002
Шинник,Ротор,2 : 2,2002
Шинник,Спартак-Алания,2 : 0,2002
Шинник,Торпедо-Металлург,3 : 0,2002
Шинник,Уралан,2 : 1,2002
Шинник,Черноморец,1 : 1,2002
Динамо,ЦСКА,2 : 3,2002
Динамо,Зенит,7 : 1,2002
Динамо,Рубин,0 : 0,2002
Динамо,Локомотив,1 : 1,2002
Динамо,Шинник,1 : 2,2002
Динамо,Сатурн-REN TV,1 : 1,2002
Динамо,Торпедо М,1 : 2,2002
Динамо,Крылья Советов,2 : 1,2002
Динамо,Спартак,3 : 2,2002
Динамо,Ростов,1 : 1,2002
Динамо,Ротор,3 : 1,2002
Динамо,Спартак-Алания,0 : 0,2002
Динамо,Торпедо-Металлург,0 : 1,2002
Динамо,Уралан,2 : 0,2002
Динамо,Черноморец,3 : 2,2002
Сатурн-REN TV,ЦСКА,2 : 2,2002
Сатурн-REN TV,Зенит,1 : 3,2002
Сатурн-REN TV,Рубин,1 : 1,2002
Сатурн-REN TV,Локомотив,0 : 0,2002
Сатурн-REN TV,Шинник,2 : 1,2002
Сатурн-REN TV,Динамо,0 : 1,2002
Сатурн-REN TV,Торпедо М,2 : 0,2002
Сатурн-REN TV,Крылья Советов,1 : 1,2002
Сатурн-REN TV,Спартак,3 : 2,2002
Сатурн-REN TV,Ростов,2 : 1,2002
Сатурн-REN TV,Ротор,4 : 1,2002
Сатурн-REN TV,Спартак-Алания,2 : 2,2002
Сатурн-REN TV,Торпедо-Металлург,0 : 3,2002
Сатурн-REN TV,Уралан,2 : 1,2002
Сатурн-REN TV,Черноморец,2 : 0,2002
Торпедо М,ЦСКА,3 : 2,2002
Торпедо М,Зенит,1 : 2,2002
Торпедо М,Рубин,4 : 2,2002
Торпедо М,Локомотив,1 : 0,2002
Торпедо М,Шинник,1 : 1,2002
Торпедо М,Динамо,1 : 1,2002
Торпедо М,Сатурн-REN TV,4 : 3,2002
Торпедо М,Крылья Советов,0 : 0,2002
Торпедо М,Спартак,3 : 0,2002
Торпедо М,Ростов,1 : 1,2002
Торпедо М,Ротор,0 : 3,2002
Торпедо М,Спартак-Алания,2 : 0,2002
Торпедо М,Торпедо-Металлург,3 : 0,2002
Торпедо М,Уралан,3 : 0,2002
Торпедо М,Черноморец,1 : 1,2002
Крылья Советов,ЦСКА,0 : 2,2002
Крылья Советов,Зенит,2 : 1,2002
Крылья Советов,Рубин,0 : 0,2002
Крылья Советов,Локомотив,3 : 0,2002
Крылья Советов,Шинник,1 : 0,2002
Крылья Советов,Динамо,1 : 0,2002
Крылья Советов,Сатурн-REN TV,3 : 1,2002
Крылья Советов,Торпедо М,4 : 2,2002
Крылья Советов,Спартак,0 : 2,2002
Крылья Советов,Ростов,3 : 0,2002
Крылья Советов,Ротор,3 : 0,2002
Крылья Советов,Спартак-Алания,3 : 0,2002
Крылья Советов,Торпедо-Металлург,2 : 0,2002
Крылья Советов,Уралан,0 : 0,2002
Крылья Советов,Черноморец,1 : 1,2002
Спартак,ЦСКА,0 : 0,2002
Спартак,Зенит,1 : 1,2002
Спартак,Рубин,0 : 2,2002
Спартак,Локомотив,2 : 5,2002
Спартак,Шинник,3 : 1,2002
Спартак,Динамо,2 : 1,2002
Спартак,Сатурн-REN TV,0 : 1,2002
Спартак,Торпедо М,1 : 0,2002
Спартак,Крылья Советов,1 : 1,2002
Спартак,Ростов,1 : 0,2002
Спартак,Ротор,3 : 2,2002
Спартак,Спартак-Алания,1 : 2,2002
Спартак,Торпедо-Металлург,0 : 2,2002
Спартак,Уралан,1 : 1,2002
Спартак,Черноморец,2 : 1,2002
Ростов,ЦСКА,0 : 1,2002
Ростов,Зенит,1 : 1,2002
Ростов,Рубин,0 : 1,2002
Ростов,Локомотив,1 : 1,2002
Ростов,Шинник,1 : 1,2002
Ростов,Динамо,1 : 1,2002
Ростов,Сатурн-REN TV,1 : 2,2002
Ростов,Торпедо М,0 : 0,2002
Ростов,Крылья Советов,2 : 1,2002
Ростов,Спартак,3 : 2,2002
Ростов,Ротор,4 : 3,2002
Ростов,Спартак-Алания,3 : 1,2002
Ростов,Торпедо-Металлург,1 : 0,2002
Ростов,Уралан,1 : 0,2002
Ростов,Черноморец,0 : 2,2002
Ротор,ЦСКА,1 : 2,2002
Ротор,Зенит,1 : 4,2002
Ротор,Рубин,3 : 1,2002
Ротор,Локомотив,0 : 2,2002
Ротор,Шинник,0 : 0,2002
Ротор,Динамо,0 : 1,2002
Ротор,Сатурн-REN TV,0 : 1,2002
Ротор,Торпедо М,2 : 0,2002
Ротор,Крылья Советов,1 : 0,2002
Ротор,Спартак,1 : 1,2002
Ротор,Ростов,2 : 0,2002
Ротор,Спартак-Алания,2 : 1,2002
Ротор,Торпедо-Металлург,2 : 2,2002
Ротор,Уралан,2 : 0,2002
Ротор,Черноморец,3 : 0,2002
Спартак-Алания,ЦСКА,0 : 1,2002
Спартак-Алания,Зенит,0 : 2,2002
Спартак-Алания,Рубин,1 : 0,2002
Спартак-Алания,Локомотив,3 : 2,2002
Спартак-Алания,Шинник,0 : 1,2002
Спартак-Алания,Динамо,0 : 1,2002
Спартак-Алания,Сатурн-REN TV,1 : 0,2002
Спартак-Алания,Торпедо М,0 : 0,2002
Спартак-Алания,Крылья Советов,1 : 1,2002
Спартак-Алания,Спартак,3 : 0,2002
Спартак-Алания,Ростов,1 : 0,2002
Спартак-Алания,Ротор,1 : 0,2002
Спартак-Алания,Торпедо-Металлург,2 : 0,2002
Спартак-Алания,Уралан,0 : 1,2002
Спартак-Алания,Черноморец,1 : 0,2002
Торпедо-Металлург,ЦСКА,2 : 1,2002
Торпедо-Металлург,Зенит,0 : 1,2002
Торпедо-Металлург,Рубин,1 : 2,2002
Торпедо-Металлург,Локомотив,1 : 3,2002
Торпедо-Металлург,Шинник,1 : 2,2002
Торпедо-Металлург,Динамо,0 : 1,2002
Торпедо-Металлург,Сатурн-REN TV,2 : 3,2002
Торпедо-Металлург,Торпедо М,0 : 0,2002
Торпедо-Металлург,Крылья Советов,3 : 0,2002
Торпедо-Металлург,Спартак,0 : 0,2002
Торпедо-Металлург,Ростов,0 : 3,2002
Торпедо-Металлург,Ротор,1 : 0,2002
Торпедо-Металлург,Спартак-Алания,3 : 1,2002
Торпедо-Металлург,Уралан,1 : 1,2002
Торпедо-Металлург,Черноморец,0 : 0,2002
Уралан,ЦСКА,2 : 2,2002
Уралан,Зенит,1 : 0,2002
Уралан,Рубин,1 : 1,2002
Уралан,Локомотив,1 : 2,2002
Уралан,Шинник,0 : 2,2002
Уралан,Динамо,1 : 5,2002
Уралан,Сатурн-REN TV,0 : 0,2002
Уралан,Торпедо М,2 : 2,2002
Уралан,Крылья Советов,0 : 0,2002
Уралан,Спартак,1 : 2,2002
Уралан,Ростов,3 : 1,2002
Уралан,Ротор,0 : 1,2002
Уралан,Спартак-Алания,2 : 1,2002
Уралан,Торпедо-Металлург,1 : 0,2002
Уралан,Черноморец,1 : 0,2002
Черноморец,ЦСКА,0 : 1,2002
Черноморец,Зенит,1 : 0,2002
Черноморец,Рубин,1 : 0,2002
Черноморец,Локомотив,2 : 5,2002
Черноморец,Шинник,2 : 1,2002
Черноморец,Динамо,0 : 1,2002
Черноморец,Сатурн-REN TV,0 : 1,2002
Черноморец,Торпедо М,2 : 4,2002
Черноморец,Крылья Советов,1 : 3,2002
Черноморец,Спартак,2 : 3,2002
Черноморец,Ростов,2 : 2,2002
Черноморец,Ротор,1 : 0,2002
Черноморец,Спартак-Алания,3 : 0,2002
Черноморец,Торпедо-Металлург,1 : 2,2002
Черноморец,Уралан,1 : 1,2002
Спартак,Локомотив М,1 : 0,2001
Спартак,Зенит,3 : 1,2001
Спартак,Торпедо М,2 : 2,2001
Спартак,Крылья Советов,1 : 0,2001
Спартак,Сатурн,0 : 0,2001
Спартак,ЦСКА,1 : 0,2001
Спартак,Сокол,0 : 0,2001
Спартак,Динамо,2 : 1,2001
Спартак,Ротор,1 : 0,2001
Спартак,Алания,1 : 1,2001
Спартак,Ростсельмаш,5 : 1,2001
Спартак,Анжи,2 : 1,2001
Спартак,Торпедо-ЗИЛ,1 : 1,2001
Спартак,Факел,3 : 0,2001
Спартак,Черноморец,5 : 0,2001
Локомотив М,Спартак,2 : 1,2001
Локомотив М,Зенит,5 : 1,2001
Локомотив М,Торпедо М,3 : 1,2001
Локомотив М,Крылья Советов,1 : 2,2001
Локомотив М,Сатурн,1 : 1,2001
Локомотив М,ЦСКА,3 : 2,2001
Локомотив М,Сокол,3 : 0,2001
Локомотив М,Динамо,4 : 1,2001
Локомотив М,Ротор,2 : 0,2001
Локомотив М,Алания,3 : 1,2001
Локомотив М,Ростсельмаш,0 : 0,2001
Локомотив М,Анжи,4 : 0,2001
Локомотив М,Торпедо-ЗИЛ,1 : 0,2001
Локомотив М,Факел,1 : 0,2001
Локомотив М,Черноморец,4 : 0,2001
Зенит,Спартак,2 : 1,2001
Зенит,Локомотив М,0 : 0,2001
Зенит,Торпедо М,0 : 3,2001
Зенит,Крылья Советов,1 : 1,2001
Зенит,Сатурн,2 : 1,2001
Зенит,ЦСКА,6 : 1,2001
Зенит,Сокол,1 : 1,2001
Зенит,Динамо,2 : 1,2001
Зенит,Ротор,2 : 1,2001
Зенит,Алания,3 : 0,2001
Зенит,Ростсельмаш,3 : 1,2001
Зенит,Анжи,1 : 1,2001
Зенит,Торпедо-ЗИЛ,4 : 0,2001
Зенит,Факел,2 : 1,2001
Зенит,Черноморец,2 : 1,2001
Торпедо М,Спартак,2 : 0,2001
Торпедо М,Локомотив М,1 : 1,2001
Торпедо М,Зенит,3 : 2,2001
Торпедо М,Крылья Советов,0 : 4,2001
Торпедо М,Сатурн,1 : 4,2001
Торпедо М,ЦСКА,1 : 3,2001
Торпедо М,Сокол,6 : 2,2001
Торпедо М,Динамо,1 : 1,2001
Торпедо М,Ротор,1 : 1,2001
Торпедо М,Алания,0 : 1,2001
Торпедо М,Ростсельмаш,2 : 1,2001
Торпедо М,Анжи,2 : 1,2001
Торпедо М,Торпедо-ЗИЛ,1 : 0,2001
Торпедо М,Факел,3 : 1,2001
Торпедо М,Черноморец,3 : 1,2001
Крылья Советов,Спартак,1 : 2,2001
Крылья Советов,Локомотив М,1 : 1,2001
Крылья Советов,Зенит,1 : 0,2001
Крылья Советов,Торпедо М,3 : 0,2001
Крылья Советов,Сатурн,2 : 0,2001
Крылья Советов,ЦСКА,0 : 0,2001
Крылья Советов,Сокол,1 : 0,2001
Крылья Советов,Динамо,3 : 0,2001
Крылья Советов,Ротор,3 : 0,2001
Крылья Советов,Алания,1 : 1,2001
Крылья Советов,Ростсельмаш,3 : 0,2001
Крылья Советов,Анжи,0 : 0,2001
Крылья Советов,Торпедо-ЗИЛ,2 : 1,2001
Крылья Советов,Факел,3 : 1,2001
Крылья Советов,Черноморец,0 : 0,2001
Сатурн,Спартак,3 : 0,2001
Сатурн,Локомотив М,0 : 0,2001
Сатурн,Зенит,2 : 2,2001
Сатурн,Торпедо М,0 : 1,2001
Сатурн,Крылья Советов,2 : 0,2001
Сатурн,ЦСКА,1 : 1,2001
Сатурн,Сокол,1 : 2,2001
Сатурн,Динамо,6 : 1,2001
Сатурн,Ротор,2 : 1,2001
Сатурн,Алания,1 : 0,2001
Сатурн,Ростсельмаш,0 : 1,2001
Сатурн,Анжи,1 : 0,2001
Сатурн,Торпедо-ЗИЛ,1 : 0,2001
Сатурн,Факел,0 : 0,2001
Сатурн,Черноморец,4 : 0,2001
ЦСКА,Спартак,1 : 1,2001
ЦСКА,Локомотив М,2 : 1,2001
ЦСКА,Зенит,1 : 1,2001
ЦСКА,Торпедо М,0 : 1,2001
ЦСКА,Крылья Советов,0 : 3,2001
ЦСКА,Сатурн,0 : 0,2001
ЦСКА,Сокол,4 : 0,2001
ЦСКА,Динамо,2 : 0,2001
ЦСКА,Ротор,2 : 1,2001
ЦСКА,Алания,3 : 0,2001
ЦСКА,Ростсельмаш,0 : 0,2001
ЦСКА,Анжи,1 : 0,2001
ЦСКА,Торпедо-ЗИЛ,1 : 1,2001
ЦСКА,Факел,5 : 1,2001
ЦСКА,Черноморец,2 : 1,2001
Сокол,Спартак,2 : 4,2001
Сокол,Локомотив М,1 : 2,2001
Сокол,Зенит,0 : 1,2001
Сокол,Торпедо М,0 : 2,2001
Сокол,Крылья Советов,1 : 0,2001
Сокол,Сатурн,0 : 2,2001
Сокол,ЦСКА,0 : 2,2001
Сокол,Динамо,2 : 1,2001
Сокол,Ротор,1 : 0,2001
Сокол,Алания,4 : 1,2001
Сокол,Ростсельмаш,1 : 1,2001
Сокол,Анжи,2 : 0,2001
Сокол,Торпедо-ЗИЛ,1 : 0,2001
Сокол,Факел,2 : 1,2001
Сокол,Черноморец,0 : 0,2001
Динамо,Спартак,1 : 1,2001
Динамо,Локомотив М,1 : 2,2001
Динамо,Зенит,1 : 3,2001
Динамо,Торпедо М,0 : 4,2001
Динамо,Крылья Советов,0 : 1,2001
Динамо,Сатурн,2 : 0,2001
Динамо,ЦСКА,3 : 1,2001
Динамо,Сокол,1 : 1,2001
